IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID,RAZZBALLNAME,FANTRAXID,FANTRAXNAME,ROTOWIRENAME,ALLPOS,NFBCLASTFIRST,NAME_TEAM,NAME_TEAM1,NAME_TEAM2,NAME_TEAM3,NAME_TEAM4,NAME_TEAM5,NAME_TEAM6
acunaro01,RONALD ACUNA,12/18/1997,Ronald,Acuna,ATL,NL,OF,18401,RONALD ACUNA,660670.0,RONALD ACUNA,2211777.0,RONALD ACUNA,,acunaro01,10646.0,RONALD ACUNA,36185.0,NAN,,,105454.0,,NAN,"Acuna Jr., Ronald",R,R,Ronald Acuna,"Acuna, Ronald",14200.0,,,,23327.0,5588.0,Ronald Acuna,03wha,"Acuna, Ronald","Acuna, Ronald",OF,"Acuna, Ronald",RONALD ACUNA ATL,RONALD ACUNA ATL,RONALD ACUNA ATL,RONALD ACUNA ATL,RONALD ACUNA ATL,NAN ATL,NAN ATL
adamecr01,CRISTHIAN ADAMES,7/26/1991,Cristhian,Adames,COL,,1B,6013,CRISTHIAN ADAMES,542436.0,CRISTHIAN ADAMES,1959299.0,CRISTHIAN ADAMES,adamc001,adamecr01,9774.0,CRISTHIAN ADAMES,31659.0,CRISTHIAN ADAMES,,ADAMES19910726A,59755.0,9774.0,CRISTHIAN ADAMES,"Adames, Cristhian",B,R,Cristhian Adames,"Adames, Cristhian",11817.0,Cristhian Adames,21582.0,Cristhian Adames,10307.0,4701.0,Cristhian Adames,027j7,"Adames, Cristhian",Cristhian Adames,1B,"Adames, Cristhian",CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN,CRISTHIAN ADAMES NAN
adamewi01,WILLY ADAMES,9/2/1995,Willy,Adames,TBA,AL,SS,15986,WILLY ADAMES,642715.0,WILLY ADAMES,2165933.0,WILLY ADAMES,,adamewi01,9893.0,WILLY ADAMES,33675.0,WILLY ADAMES,,,103209.0,9893.0,WILLY ADAMES,"Adames, Willy",R,R,Willy Adames,"Adames, Willy",13593.0,,,,18407.0,5053.0,Willy Adames,03atq,"Adames, Willy",Willy Adames,SS,"Adames, Willy",WILLY ADAMES TBA,WILLY ADAMES TBA,WILLY ADAMES TBA,WILLY ADAMES TBA,WILLY ADAMES TBA,WILLY ADAMES TBA,WILLY ADAMES TBA
adamsch01,CHANCE ADAMS,8/10/1994,Chance,Adams,[],,P,sa875066,CHANCE ADAMS,664856.0,CHANCE ADAMS,,NAN,,adamsch01,10541.0,CHANCE ADAMS,36160.0,NAN,,,105455.0,,NAN,"Adams, Chance",R,R,Chance Adams,"Adams, Chance",14548.0,,,,22738.0,5647.0,Chance Adams,03qle,"Adams, Chance",Chance Adams,P,"Adams, Chance",CHANCE ADAMS NAN,CHANCE ADAMS NAN,CHANCE ADAMS NAN,NAN NAN,CHANCE ADAMS NAN,NAN NAN,NAN NAN
adamsda02,DAVID ADAMS,5/15/1987,David,Adams,BAL,,2B,7389,DAVID ADAMS,458691.0,DAVID ADAMS,1740903.0,DAVID ADAMS,adamd001,adamsda02,9395.0,DAVID ADAMS,30679.0,DAVID ADAMS,David Adams,ADAMS19870515A,58003.0,9395.0,DAVID ADAMS,"Adams, David",R,R,David Adams,"Adams, David",10562.0,,,,5335.0,,David Adams,,,David Adams,2B,"Adams, David",DAVID ADAMS NAN,DAVID ADAMS NAN,DAVID ADAMS NAN,DAVID ADAMS NAN,DAVID ADAMS NAN,DAVID ADAMS NAN,DAVID ADAMS NAN
adamsla01,LANE ADAMS,11/13/1989,Lane,Adams,ATL,NL,OF,10767,LANE ADAMS,572669.0,LANE ADAMS,2048786.0,LANE ADAMS,adaml001,adamsla01,9806.0,LANE ADAMS,32911.0,LANE ADAMS,,,60150.0,9806.0,LANE ADAMS,"Adams, Lane",R,R,Lane Adams,"Adams, Lane",13223.0,,,,12380.0,4741.0,Lane Adams,02hce,"Adams, Lane",Lane Adams,OF,"Adams, Lane",LANE ADAMS PHI,LANE ADAMS PHI,LANE ADAMS PHI,LANE ADAMS PHI,LANE ADAMS PHI,LANE ADAMS PHI,LANE ADAMS PHI
adamsma01,MATT ADAMS,8/31/1988,Matt,Adams,WAS,NL,1B,9393,MATT ADAMS,571431.0,MATT ADAMS,1810388.0,MATT ADAMS,adamm002,adamsma01,9100.0,MATT ADAMS,31359.0,MATT ADAMS,Matt Adams,ADAMS19880831A,59582.0,9100.0,MATT ADAMS,"Adams, Matt",L,R,Matt Adams,"Adams, Matt",11977.0,Matt Adams,13799.0,Matt Adams,6302.0,4003.0,Matt Adams,0272u,"Adams, Matt","Adams, Matt",1B,"Adams, Matt",MATT ADAMS WAS,MATT ADAMS WAS,MATT ADAMS WAS,MATT ADAMS WAS,MATT ADAMS WAS,MATT ADAMS WAS,MATT ADAMS WAS
adamsmi03,MIKE ADAMS,7/29/1978,Mike,Adams,PHI,,P,1937,MIKE ADAMS,430606.0,MIKE ADAMS,392251.0,MIKE ADAMS,adamm102,adamsmi03,7332.0,MIKE ADAMS,5969.0,MIKE ADAMS,,ADAMS19480724A,18328.0,7332.0,MIKE ADAMS,"Adams, Mike",R,R,Mike Adams,"Adams, Mike",,,,,3799.0,,Mike Adams,,,,P,"Adams, Mike",MIKE ADAMS NAN,MIKE ADAMS NAN,MIKE ADAMS NAN,MIKE ADAMS NAN,MIKE ADAMS NAN,MIKE ADAMS NAN,MIKE ADAMS NAN
adducji02,JIM ADDUCI,5/15/1985,Jim,Adduci,DET,NL,OF,6448,JIM ADDUCI,451192.0,JIM ADDUCI,,NAN,,adducji02,9512.0,JIM ADDUCI,30019.0,JIM ADDUCI,,,46943.0,9512.0,JIM ADDUCI,"Adduci, Jim",L,L,Jim Adduci,"Adduci, Jim",11299.0,,,,1672.0,4456.0,Jim Adduci,,,Jim Adduci,1B,"Adduci, Jim",JIM ADDUCI CHC,JIM ADDUCI CHC,JIM ADDUCI CHC,NAN CHC,JIM ADDUCI CHC,JIM ADDUCI CHC,JIM ADDUCI CHC
adlemti01,TIM ADLEMAN,11/13/1987,Tim,Adleman,CIN,,P,10968,TIM ADLEMAN,534947.0,TIM ADLEMAN,2170252.0,TIM ADLEMAN,adlet001,adlemti01,10282.0,TIM ADLEMAN,33962.0,TIM ADLEMAN,,ADLEMAN19871113A,65945.0,10282.0,TIM ADLEMAN,"Adleman, Tim",R,R,Timothy Adleman,"Adleman, Tim",14208.0,Tim Adleman,70351.0,Tim Adleman,13610.0,5261.0,Tim Adleman,,,Tim Adleman,P,"Adleman, Tim",TIM ADLEMAN NAN,TIM ADLEMAN NAN,TIM ADLEMAN NAN,TIM ADLEMAN NAN,TIM ADLEMAN NAN,TIM ADLEMAN NAN,TIM ADLEMAN NAN
adriaeh01,EHIRE ADRIANZA,8/21/1989,Ehire,Adrianza,MIN,AL,SS,8418,EHIRE ADRIANZA,501303.0,EHIRE ADRIANZA,1666190.0,EHIRE ADRIANZA,adrie001,adriaeh01,9521.0,EHIRE ADRIANZA,30471.0,EHIRE ADRIANZA,,ADRIANZA19890821A,50677.0,9521.0,EHIRE ADRIANZA,"Adrianza, Ehire",B,R,Ehire Adrianza,"Adrianza, Ehire",10790.0,,,Ehire Adrianza,8445.0,4466.0,Ehire Adrianza,01t3l,"Adrianza, Ehire",Ehire Adrianza,3B/SS,"Adrianza, Ehire",EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN,EHIRE ADRIANZA MIN
affelje01,JEREMY AFFELDT,6/6/1979,Jeremy,Affeldt,SFN,,P,583,JEREMY AFFELDT,346793.0,JEREMY AFFELDT,223741.0,JEREMY AFFELDT,affej001,affelje01,6883.0,JEREMY AFFELDT,5061.0,JEREMY AFFELDT,,AFFELDT19790606A,1354.0,6883.0,JEREMY AFFELDT,"Affeldt, Jeremy",L,L,Jeremy Affeldt,"Affeldt, Jeremy",6588.0,Jeremy Affeldt,5108.0,,14848.0,,Jeremy Affeldt,,,Jeremy Affeldt,P,"Affeldt, Jeremy",JEREMY AFFELDT NAN,JEREMY AFFELDT NAN,JEREMY AFFELDT NAN,JEREMY AFFELDT NAN,JEREMY AFFELDT NAN,JEREMY AFFELDT NAN,JEREMY AFFELDT NAN
aguilje01,JESUS AGUILAR,6/30/1990,Jesus,Aguilar,MIL,NL,1B,11342,JESUS AGUILAR,542583.0,JESUS AGUILAR,1947830.0,JESUS AGUILAR,aguij001,aguilje01,9704.0,JESUS AGUILAR,32132.0,JESUS AGUILAR,,AGUILAR19900630A,59871.0,9704.0,JES??S AGUILAR,"Aguilar, Jesus",R,R,Jesus Aguilar,"Aguilar, Jesus",12327.0,Jesus Aguilar,38016.0,Jesus Aguilar,9974.0,4631.0,Jesus Aguilar,02jhn,"Aguilar, Jesus","Aguilar, Jesus",1B,"Aguilar, Jesus",JESUS AGUILAR MIL,JESUS AGUILAR MIL,JESUS AGUILAR MIL,JESUS AGUILAR MIL,JESUS AGUILAR MIL,JESUS AGUILAR MIL,JES??S AGUILAR MIL
ahmedni01,NICK AHMED,3/15/1990,Nick,Ahmed,ARI,NL,SS,12147,NICK AHMED,605113.0,NICK AHMED,1959715.0,NICK AHMED,ahmen001,ahmedni01,8833.0,NICK AHMED,32355.0,NICK AHMED,,AHMED19900315A,69508.0,9751.0,NICK AHMED,"Ahmed, Nick",R,R,Nick Ahmed,"Ahmed, Nick",12216.0,Nick Ahmed,21612.0,Nick Ahmed,18352.0,4674.0,Nick Ahmed,02br3,"Ahmed, Nick",Nick Ahmed,SS,"Ahmed, Nick",NICK AHMED ARI,NICK AHMED ARI,NICK AHMED ARI,NICK AHMED ARI,NICK AHMED ARI,NICK AHMED ARI,NICK AHMED ARI
aikenbr01,BRADY AIKEN,8/16/1996,Brady,Aiken,[],AL,P,sa828659,BRADY AIKEN,656184.0,BRADY AIKEN,,NAN,,aikenbr01,,BRADY AIKEN,33303.0,NAN,,,103732.0,,NAN,"Aiken, Brady",L,L,Brady Aiken,"Aiken, Brady",13357.0,,,,,,Brady Aiken,,,Brady Aiken,P,"Aiken, Brady",BRADY AIKEN CLE,BRADY AIKEN CLE,BRADY AIKEN CLE,NAN CLE,BRADY AIKEN CLE,NAN CLE,NAN CLE
alberan01,ANDREW ALBERS,10/6/1985,Andrew,Albers,SEA,,P,7853,ANDREW ALBERS,452027.0,ANDREW ALBERS,2044380.0,ANDREW ALBERS,albea001,alberan01,9480.0,ANDREW ALBERS,32754.0,ANDREW ALBERS,,ALBERS19851006A,52617.0,9480.0,ANDREW ALBERS,"Albers, Andrew",R,L,Andrew Albers,"Albers, Andrew",12895.0,Andrew Albers,38214.0,,17594.0,4429.0,Andrew Albers,,,Andrew Albers,P,"Albers, Andrew",ANDREW ALBERS NAN,ANDREW ALBERS NAN,ANDREW ALBERS NAN,ANDREW ALBERS NAN,ANDREW ALBERS NAN,ANDREW ALBERS NAN,ANDREW ALBERS NAN
alberma01,MATT ALBERS,1/20/1983,Matt,Albers,MIL,NL,P,4300,MATT ALBERS,458006.0,MATT ALBERS,580567.0,MATT ALBERS,albem001,alberma01,7820.0,MATT ALBERS,28525.0,MATT ALBERS,,ALBERS19830120A,31948.0,7820.0,MATT ALBERS,"Albers, Matt",L,R,Matt Albers,"Albers, Matt",8027.0,Matt Albers,5587.0,Matt Albers,513.0,2373.0,Matt Albers,000hg,"Albers, Matt",Matt Albers,RP,"Albers, Matt",MATT ALBERS MIL,MATT ALBERS MIL,MATT ALBERS MIL,MATT ALBERS MIL,MATT ALBERS MIL,MATT ALBERS MIL,MATT ALBERS MIL
albieoz01,OZZIE ALBIES,1/7/1997,Ozzie,Albies,ATL,NL,2B,16556,OZHAINO ALBIES,645277.0,OZZIE ALBIES,2167464.0,OZZIE ALBIES,albio001,albieoz01,10237.0,OZZIE ALBIES,33783.0,OZZIE ALBIES,,ALBIES19970107A,104004.0,,NAN,"Albies, Ozzie",B,R,Ozzie Albies,"Albies, Ozzie",13639.0,,,,18397.0,5173.0,Ozzie Albies,03fi0,"Albies, Ozzie","Albies, Ozzie",2B,"Albies, Ozzie",OZZIE ALBIES ATL,OZHAINO ALBIES ATL,OZZIE ALBIES ATL,OZZIE ALBIES ATL,OZZIE ALBIES ATL,OZZIE ALBIES ATL,NAN ATL
albural01,AL ALBURQUERQUE,6/10/1986,Al,Alburquerque,CHA,,P,6324,AL ALBURQUERQUE,456379.0,AL ALBURQUERQUE,1725468.0,AL ALBURQUERQUE,albua001,albural01,8843.0,AL ALBURQUERQUE,30494.0,AL ALBURQUERQUE,,ALBURQUER19860610A,52489.0,8843.0,AL ALBURQUERQUE,"Alburquerque, Al",R,R,Al Alburquerque,"Alburquerque, Al",11308.0,Alberto Alburquerque,12859.0,Al Alburquerque,2839.0,3778.0,Al Alburquerque,01uuu,"Alburquerque, Al",Al Alburquerque,P,"Alburquerque, Al",AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN,AL ALBURQUERQUE NAN
alcanar01,ARISMENDY ALCANTARA,10/29/1991,Arismendy,Alcantara,CIN,NL,OF,10711,ARISMENDY ALCANTARA,570489.0,ARISMENDY ALCANTARA,2044523.0,ARISMENDY ALCANTARA,alcaa001,alcanar01,9554.0,ARISMENDY ALCANTARA,32823.0,ARISMENDY ALCANTARA,,ALCANTARA19911029A,66268.0,9554.0,ARISMENDY ALCANTARA,"Alcantara, Arismendy",B,R,Arismendy Alcantara,"Alcantara, Arismendy",12841.0,Arismendy Alcantara,38602.0,Arismendy Alcantara,10541.0,4523.0,Arismendy Alcantara,,,Arismendy Alcantara,OF,"Alcantara, Arismendy",ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN,ARISMENDY ALCANTARA CIN
alcansa01,SANDY ALCANTARA,9/7/1995,Sandy,Alcantara,MIA,NL,P,18684,SANDY ALCANTARA,645261.0,SANDY ALCANTARA,2211794.0,SANDY ALCANTARA,alcas001,alcansa01,10597.0,SANDY ALCANTARA,35241.0,NAN,,,104002.0,,NAN,"Alcantara, Sandy",R,R,Sandy Alcantara,"Alcantara, Sandy",14071.0,,,,20732.0,5698.0,Sandy Alcantara,03btv,"Alcantara, Sandy","Alcantara, Sandy",P,"Alcantara, Sandy",SANDY ALCANTARA MIA,SANDY ALCANTARA MIA,SANDY ALCANTARA MIA,SANDY ALCANTARA MIA,SANDY ALCANTARA MIA,NAN MIA,NAN MIA
alexasc02,SCOTT ALEXANDER,7/10/1989,Scott,Alexander,LAN,NL,P,10591,SCOTT ALEXANDER,518397.0,SCOTT ALEXANDER,2113509.0,SCOTT ALEXANDER,alexs001,alexasc02,10072.0,SCOTT ALEXANDER,33123.0,SCOTT ALEXANDER,,,65851.0,10072.0,SCOTT ALEXANDER,"Alexander, Scott",L,L,Scott Alexander,"Alexander, Scott",11684.0,,,,14022.0,5023.0,Scott Alexander,02hi5,"Alexander, Scott","Alexander, Scott",RP,"Alexander, Scott",SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD,SCOTT ALEXANDER LAD
alfarjo01,JORGE ALFARO,6/11/1993,Jorge,Alfaro,PHI,NL,C,12180,JORGE ALFARO,595751.0,JORGE ALFARO,1846227.0,JORGE ALFARO,alfaj002,alfarjo01,9631.0,JORGE ALFARO,31737.0,JORGE ALFARO,,ALFARO00000000A,68062.0,9631.0,JORGE ALFARO,"Alfaro, Jorge",R,R,Jorge Alfaro,"Alfaro, Jorge",12391.0,,,Jorge Alfaro,13479.0,4985.0,Jorge Alfaro,025iy,"Alfaro, Jorge","Alfaro, Jorge",C,"Alfaro, Jorge",JORGE ALFARO MIA,JORGE ALFARO MIA,JORGE ALFARO MIA,JORGE ALFARO MIA,JORGE ALFARO MIA,JORGE ALFARO MIA,JORGE ALFARO MIA
alforan01,ANTHONY ALFORD,7/20/1994,Anthony,Alford,TOR,AL,OF,14329,ANTHONY ALFORD,546990.0,ANTHONY ALFORD,2044547.0,ANTHONY ALFORD,alfoa002,alforan01,10240.0,ANTHONY ALFORD,32812.0,ANTHONY ALFORD,,ALFORD19940720A,100152.0,10240.0,ANTHONY ALFORD,"Alford, Anthony",R,R,Anthony Alford,"Alford, Anthony",12559.0,,,,18562.0,5197.0,Anthony Alford,02my8,"Alford, Anthony",Anthony Alford,OF,"Alford, Anthony",ANTHONY ALFORD TOR,ANTHONY ALFORD TOR,ANTHONY ALFORD TOR,ANTHONY ALFORD TOR,ANTHONY ALFORD TOR,ANTHONY ALFORD TOR,ANTHONY ALFORD TOR
allarko01,KOLBY ALLARD,8/13/1997,Kolby,Allard,[],,P,sa874245,KOLBY ALLARD,663465.0,KOLBY ALLARD,2184450.0,KOLBY ALLARD,,allarko01,10422.0,KOLBY ALLARD,34980.0,NAN,,,107170.0,,NAN,"Allard, Kolby",L,L,Kolby Allard,"Allard, Kolby",13820.0,,,,18532.0,5591.0,Kolby Allard,03nqg,"Allard, Kolby",Kolby Allard,P,"Allard, Kolby",KOLBY ALLARD NAN,KOLBY ALLARD NAN,KOLBY ALLARD NAN,KOLBY ALLARD NAN,KOLBY ALLARD NAN,NAN NAN,NAN NAN
allenco01,CODY ALLEN,11/20/1988,Cody,Allen,CLE,AL,P,12183,CODY ALLEN,592102.0,CODY ALLEN,1953416.0,CODY ALLEN,allec002,allenco01,9243.0,CODY ALLEN,32188.0,CODY ALLEN,,ALLEN19881120A,68494.0,9243.0,CODY ALLEN,"Allen, Cody",R,R,Cody Allen,"Allen, Cody",12627.0,Cody Allen,17054.0,Cody Allen,18205.0,4153.0,Cody Allen,02ho1,"Allen, Cody","Allen, Cody",RP,"Allen, Cody",CODY ALLEN LAA,CODY ALLEN LAA,CODY ALLEN LAA,CODY ALLEN LAA,CODY ALLEN LAA,CODY ALLEN LAA,CODY ALLEN LAA
allengr01,GREG ALLEN,3/15/1993,Greg,Allen,CLE,AL,OF,16623,GREG ALLEN,656185.0,GREG ALLEN,2171381.0,GREG ALLEN,alleg002,allengr01,10460.0,GREG ALLEN,34187.0,GREG ALLEN,,,104718.0,,NAN,"Allen, Greg",B,R,Greg Allen,"Allen, Greg",14405.0,,,,20381.0,5188.0,Greg Allen,03dez,"Allen, Greg",Greg Allen,OF,"Allen, Greg",GREG ALLEN CLE,GREG ALLEN CLE,GREG ALLEN CLE,GREG ALLEN CLE,GREG ALLEN CLE,GREG ALLEN CLE,NAN CLE
almonab01,ABRAHAM ALMONTE,6/27/1989,Abraham,Almonte,KCA,NL,OF,5486,ABRAHAM ALMONTE,501659.0,ABRAHAM ALMONTE,1813191.0,ABRAHAM ALMONTE,almoa001,almonab01,9506.0,ABRAHAM ALMONTE,31474.0,ABRAHAM ALMONTE,,ALMONTE19890627A,50910.0,9506.0,ABRAHAM ALMONTE,"Almonte, Abraham",B,R,Abraham Almonte,"Almonte, Abraham",12414.0,Abraham Almonte,14019.0,Abraham Almonte,4422.0,4452.0,Abraham Almonte,037u4,"Almonte, Abraham",Abraham Almonte,OF,"Almonte, Abraham",ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI,ABRAHAM ALMONTE ARI
